"V1","V2","V3","V4","V5","V6","V7"
"1",1.49208675621307,6.51031660968929,-0.000284516941428389,-0.022338507818095,-0.0152182687056966,-0.00110148541142447,4.25554990938971e-06
"2",1.4920866372414,6.51031640127646,-0.000281582252785425,-0.0223247475091561,-0.0152776532957225,-0.000949349231472021,4.26061892193531e-06
"3",1.49208647196124,6.51031665944257,-0.000283912428185904,-0.0223273650595563,-0.0151529848983204,-0.000931747035320833,4.13687665780232e-06
"4",1.49208562973475,6.51031824835137,-0.000306893470001023,-0.0223256181018217,-0.0145336959144384,-0.000965233071715981,3.75805167625572e-06
"5",1.49208574205462,6.51031810311349,-0.000320846203075226,-0.0223407566885809,-0.0145705078551374,-0.000662058715746812,3.20461238219828e-06
"6",1.49208508740206,6.51031945138122,-0.000370053079336599,-0.0223025657072169,-0.0141064454879907,-0.000774346637884236,3.15040198008202e-06
"7",1.49208554478802,6.51031891462874,-0.000333568115142583,-0.0223127797033655,-0.0143204941966763,-0.00108063971158705,3.68856530838651e-06
"8",1.49208470439205,6.51032116810422,-0.000392496673886523,-0.0222109882566867,-0.0135158546507634,-0.00076266029705719,2.91176229207355e-06
"9",1.49208671720362,6.5103250568775,-0.000387538922669291,-0.021948578483368,-0.0121120124167371,-0.000446278469422602,1.91037158493985e-06
"10",1.49208646784043,6.51032461058959,-0.000383388394258925,-0.0219836377984173,-0.0122845309599613,-0.000429719754982783,1.84820776470424e-06
"11",1.49209050660355,6.5103267076454,-0.000361271527087883,-0.0218338096485777,-0.011502622990633,-0.000138954472231303,1.02445042435159e-06
"12",1.49209304567606,6.51032745288801,-0.000352659666841023,-0.0217791710723627,-0.0112110940364175,-9.47920830147974e-05,7.13382325803641e-07
"13",1.4920922661991,6.51032751184108,-0.000354995641055713,-0.0217723769868101,-0.0112433054325335,-2.55808620919704e-06,7.77818791707933e-07
"14",1.49209255967447,6.51032847574495,-0.000359970777454038,-0.0217151711189478,-0.0109997979021741,3.11213554156743e-05,8.37943951809788e-07
"15",1.49209138916477,6.51032798894362,-0.000366414860434113,-0.0217627284180536,-0.0111542408870841,7.07843838832985e-05,9.72211176863912e-07
"16",1.49210004278246,6.51033632924772,-0.000356466181992521,-0.0212662614814808,-0.00935224891343603,0.000350862147194136,2.0107111867643e-07
"17",1.49209992043633,6.51033739005073,-0.000354154791974818,-0.0212344056768149,-0.00920981573247583,0.000287859251301082,2.01410081693402e-07
"18",1.49209442952043,6.51033083157127,-0.000358846034557482,-0.0216130476253669,-0.0104912632704428,0.00026227621428585,6.20416233693483e-07
"19",1.49209166092383,6.51032787098562,-0.000360850537170971,-0.0217913273540297,-0.0111587187430518,0.000213302653808369,8.4632471985495e-07
"20",1.49208855875355,6.51032641069528,-0.000348480511689754,-0.0219026421689833,-0.0116480774729576,0.000185184161805497,1.15493856117382e-06
"21",1.49208905224003,6.51032606687404,-0.000359524429220686,-0.0218974414234213,-0.0116981877998622,8.34265068107579e-05,1.14163011656058e-06
"22",1.49208593754362,6.51032409875047,-0.000373374031636427,-0.0220224977400964,-0.0123360684413185,-0.000394819342194705,1.95041868556709e-06
"23",1.49208476637357,6.51032120555278,-0.000372227998023734,-0.0222099722235424,-0.0135018180462346,-0.000858466220340177,3.00101660354328e-06
"24",1.49208494652113,6.5103231279353,-0.000332301332736665,-0.0221115554034179,-0.0127833815980783,-0.000528046215780195,2.2884435829415e-06
"25",1.49208496232753,6.51031985628811,-0.000259214297784939,-0.0222154191014466,-0.0140512936537343,-0.00100159153328763,3.77747122347406e-06
"26",1.49208547394257,6.51031833278666,-0.000262766110573043,-0.0222537996909236,-0.0146015855162866,-0.00108784475338438,4.18468928506029e-06
"27",1.49208581479229,6.5103174128351,-0.000262926148406467,-0.0222483266630974,-0.0149999226788061,-0.00116191429595027,4.68390019139596e-06
"28",1.49208623442809,6.51031681071959,-0.000269602931994645,-0.0222610379147791,-0.0152723057267695,-0.00114890119460469,4.74331757255082e-06
"29",1.49208587687392,6.51031741658374,-0.000269164178042787,-0.0222323113096448,-0.0150663248699336,-0.00112217966400774,4.6379684290234e-06
"30",1.49208472399695,6.51032125712238,-0.000394948742302709,-0.0222066088804701,-0.0134818506077577,-0.000799434155345209,2.97287973550207e-06
"31",1.49208964434469,6.51032664462457,-0.000363452033319564,-0.0218346886895749,-0.0115696804413462,-0.000150886189896361,1.16634701358704e-06
"32",1.49208574818194,6.51032392894133,-0.000396651767607779,-0.0220313172977224,-0.0124617550272062,-0.000476796385708528,2.15350383838857e-06
"33",1.49208690139195,6.51032492509221,-0.00035915468447191,-0.0219842254018939,-0.0120837271362497,-0.000218972664554602,1.60776679215352e-06
"34",1.4920851188375,6.51031924961341,-0.000250390159349779,-0.0222234354957282,-0.0142834550564292,-0.00103186992876127,3.95815464785006e-06
"35",1.49208589645102,6.51031735407832,-0.000269570768807782,-0.022239511610098,-0.0150772951941333,-0.00113445448556515,4.67877424139475e-06
